	DM_GLUCAN	DM_MANNAN	DM_CHITIN	DM_GLYCOGEN	DM_TREHALSE	DM_ALA	DM_ARG	DM_ASN	DM_ASP	DM_CYS	DM_GLN	DM_GLU	DM_GLY	DM_HIS	DM_ILE	DM_LEU	DM_LYS	DM_MET	DM_PHE	DM_PRO	DM_SER	DM_THR	DM_TRP	DM_TYR	DM_VAL	DM_PROTEIN	DM_ATP	DM_GTP	DM_CTP	DM_UTP	DM_RNA	DM_DATP	DM_DTTP	DM_DCTP	DM_DGTP	DM_DNA	DM_ERGST	DM_ZYMST	DM_STEROL	DM_PA_SC_MONOUNSAT_1G	DM_PC_MONOUNSAT_1G	DM_PE_MONOUNSAT_1G	DM_PG_MONOUNSAT_1G	DM_PS_MONOUNSAT_1G	DM_PTD1INO_MONOUNSAT_1G	DM_CLPN_MONOUNSAT_1G	DM_PLIPID	BIOMASS	ATPM
pku	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.2386	7.2368	7.0745	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	9.1525	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6769	1.0192	1.0847	0.4048	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
sce	1.4848	1.4848	1.2774	1.6514	1.6024	18.5915	7.5254	13.4954	16.5056	5.7662	10.4615	10.6806	24.1026	7.4124	7.268	7.108	6.5035	6.4348	5.4545	9.5652	19.3548	12.2314	4.2561	5.7143	9.7561	0.9836	4.5726	4.5517	5.2277	5.6274	1.7072	4.4048	4.5076	5.0113	4.3917	1.4883	0.9633	1.0256	0.3826	0.6387	0.6185	0.6486	0.6669	0.6883	0.718	0.6426	0.649	0.9316	220.0
pic	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.5	7.2948	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6799	0.9909	1.0513	0.3935	0.6498	0.6337	0.6572	0.6781	0.6974	0.7294	0.653	0.661	1.0656	320.0
lst	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.0	10.0	20.0	6.9421	7.1713	5.7143	6.6667	5.8333	5.6	9.8361	20.0	13.0612	4.5238	5.8741	8.0	1.0722	4.7059	4.7525	5.8359	6.1736	1.8024	4.5283	4.3936	5.5652	4.5714	1.5257	1.022	1.1174	0.4063	0.6852	0.6226	0.6927	0.7122	0.735	0.7644	0.6868	0.6761	1.0682	320.0
kla	1.4848	1.4848	1.2774	1.6514	1.6024	19.5349	7.6923	13.75	16.9231	9.3865	10.625	10.8974	25.614	7.5	7.4659	7.44	7.0625	6.5724	5.5462	10.0503	20.0	12.5676	4.3478	5.7642	10.0	1.0062	4.6114	4.5635	5.3226	5.7391	1.7288	4.4708	4.6392	5.1362	4.4258	1.5215	0.957	1.0138	0.38	0.6504	0.6265	0.6539	0.6711	0.6938	0.7224	0.6468	0.6554	0.9385	220.0
car	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.1856	7.2368	7.0745	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	8.9163	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.673	1.0307	1.0978	0.4094	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
arx	1.5245	1.5245	1.3663	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.0	10.0	20.0	8.5063	7.1713	5.7143	6.6667	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	8.0	1.0722	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6875	1.0118	1.0746	0.4018	0.6623	0.6454	0.6698	0.6907	0.7108	0.7426	0.6655	0.6733	1.0682	320.0
ang	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	9.068	10.9016	11.0833	25.8993	8.5063	7.5	7.5404	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6901	1.049	1.1174	0.4166	0.6852	0.6656	0.6927	0.7122	0.735	0.7644	0.6868	0.6953	1.0683	320.0
ncr	1.5245	1.5245	1.3747	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.5	7.2622	7.0745	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6877	1.049	1.1174	0.4166	0.6852	0.6656	0.6927	0.7122	0.735	0.7644	0.6868	0.6953	1.0682	320.0
vpo	1.4848	1.4848	1.2774	1.6514	1.6024	18.5915	7.5254	13.4954	16.5056	5.7662	10.0	10.0	24.1026	6.2011	7.268	6.6667	6.3158	5.5019	5.4545	9.5652	19.3548	12.2314	4.2561	5.7143	9.7561	0.9836	4.0809	4.0678	5.2906	5.6996	1.6133	3.9467	4.0659	5.0685	3.9362	1.3522	0.8889	0.9524	0.3531	0.5889	0.5552	0.6023	0.628	0.6392	0.6746	0.6015	0.5954	0.9301	220.0
yli	1.5245	1.5245	1.3622	1.6956	1.635	18.9474	8.3582	15.1181	17.4757	9.5397	10.8871	11.0656	25.7143	8.5063	7.5	7.0093	6.6716	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6875	0.9577	1.0088	0.3802	0.6228	0.6173	0.6348	0.6574	0.6736	0.7064	0.6314	0.6409	1.0682	320.0
nfu	1.4848	1.4848	1.3053	1.6514	1.6024	18.5915	7.5254	13.4954	16.5056	9.4286	10.0	10.0	20.0	7.4124	6.6667	5.0	6.6667	6.4348	5.4545	9.4964	19.3548	12.2314	4.2561	5.7143	6.6667	0.9836	4.5726	4.5517	5.2906	5.6996	1.718	4.4048	4.5538	5.0685	4.3917	1.4971	0.9524	1.0107	0.3782	0.6323	0.6119	0.638	0.6593	0.677	0.7095	0.6344	0.6405	0.933	220.0
opm	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.2386	7.2368	7.0745	6.1644	5.6	9.8361	20.0	13.0612	4.5238	5.8741	9.1525	1.07	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6861	1.0307	1.0978	0.4094	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0658	320.0
mbi	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	7.0459	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6861	0.9507	1.0012	0.3774	0.619	0.6135	0.6308	0.653	0.6694	0.702	0.6271	0.6369	1.0656	320.0
mgu	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	8.5714	10.9016	11.0833	25.8993	8.5063	7.5	7.0459	6.6819	6.8994	5.6	9.8901	20.0	13.0612	4.5238	5.8741	9.8246	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6817	0.9507	1.0012	0.3774	0.619	0.6135	0.6308	0.653	0.6694	0.702	0.6271	0.6369	1.0656	320.0
spo	1.5142	1.5142	1.3446	1.6841	1.6266	18.6207	7.9263	14.5352	17.1429	10.5263	10.0	10.0	13.5789	7.8599	6.0	5.0	6.0	6.7231	5.5385	9.2308	20.0	12.7407	4.0076	5.8065	6.6667	1.0139	4.8748	4.9927	5.6641	6.021	1.8265	4.6845	4.8112	5.4088	4.7933	1.5838	1.0094	1.075	0.4009	0.6701	0.652	0.6808	0.7	0.7224	0.8304	0.6749	0.6931	1.0207	286.6667
pme	1.5245	1.5245	1.3548	1.6956	1.635	18.9474	8.3582	15.1181	17.5	10.0	10.9016	11.0833	25.8993	8.5063	7.2386	7.2368	7.0745	6.8994	5.6	9.8361	20.0	13.0612	4.5238	5.8741	9.1525	1.0724	5.3519	5.4123	5.8359	6.1736	1.9304	5.1234	4.9516	5.5652	5.1787	1.6844	1.0192	1.0847	0.4048	0.676	0.6556	0.6823	0.7011	0.724	0.7544	0.6766	0.685	1.0662	320.0
